surrogate,compound,m/z
has,alkOS139,"138,9707"
oct,alkOS251,"251,0961"
oct,alkOS269,"269,0700"
oct,alkOS311,"311,0442"
has,iOS167,"167,0020"
las,iOS179,"179,0020"
has,iOS181,"180,9812"
las,iOS183,"182,9969"
las,iOS195,"194,9969"
las,iOS197,"197,0125"
las,iOS199a,"198,9918"
las,iOS199b,"199,0282"
las,iOS211,"210,9919"
las,iOS213,"213,0074"
las,iOS215,"215,0231"
las,iOS225,"224,9711"
las,iOS229,"229,0024"
las,iOS241,"240,9660"
las,iOS243,"242,9816"
las,iOS281,"281,0338"
las,iOS297,"297,0284"
10-csa,mtOS231,"231,0696"
10-csa,mtOS233,"233,0489"
10-csa,mtOS235,"235,0646"
10-csa,mtOS247,"247,0646"
10-csa,mtOS249a,"249,0438"
10-csa,mtOS249b,"249,0806"
10-csa,mtOS251,"251,0595"
10-csa,mtOS263,"263,0595"
10-csa,mtOS265a,"265,0393"
10-csa,mtOS265b,"265,0752"
10-csa,mtOS267a,"267,0547"
10-csa,mtOS279,"279,0542"
10-csa,mtOS281,"281,0700"
10-csa,mtOS283a,"283,0493"
10-csa,mtOS283b,"283,0855"
10-csa,mtOS295,"295,0490"
10-csa,mtOS297,"297,0648"
10-csa,stOS293,"293,1793"
10-csa,stOS303,"303,1272"
10-csa,stOS309a,"309,1768"
10-csa,stOS309b,"309,1736"
10-csa,stOS315,"315,1271"
10-csa,stOS317,"317,1428"
10-csa,stOS309,"309,1741"
10-csa,stOS321,"321,1384"
10-csa,stOS323,"323,1531"
10-csa,stOS333,"333,1013"
10-csa,stOS347,"347,1170"
10-csa,stOS349,"349,1326"
,tmbOS211,"211,0364"
OCT,tmbOS225,"225,0062"
10-CSA,tmbOS262,"262,0558"
OCT,tmbOS265,"265,0391"
,tmbOS278,"278,0517"
OCT,tmbOS281,"281,0325"
oct,tmbOS325,"325,0524"
oct,tmbOS270a,"269,9921"
oct,tmbOS310,"310,0238"
oct,tmbOS389,"389,0140"
oct,iNOS242,"241,9976"
oct,iNOS260,"260,0082"
oct,iNOS274,"273,9874"
10-csa,mtNOS294a,"294,0653"
10-csa,mtNOS296,"296,0446"
10-csa,mtNOS310,"310,0602"
10-csa,NOS312a,"312,0395"
10-csa,NOS312b,"312,0759"
10-csa,NOS324,"324,0394"
10-csa,alkNOS326,"326,0551"
10-csa,NOS328,"328,0708"
10-csa,NOS342,"342,0500"
10-csa,NOS362,"362,1279"
10-csa,NOS382,"382,1177"
ph,napOS257,"257,0139"
ph,napOS273,"273,01"
ph,napOS275,"275,02"
ph,napOS320,"320,00"
ph,mnapOS217,"217,98"
ph,mnapOS231,"231,03"
ph,mnapOS287,"287,02"
ph,mnapOS289,"289,04"
